actual,predicted
1373,1215.7062814404949
1878,1469.0068056265827
1447,1394.5800427474971
1232,1284.0958240867196
1408,1623.0249906113154
1114,1336.4350989910201
1929,1897.121109949126
1611,1639.5152401191772
1497,1443.8568115769212
855,1249.876698516788
996,1397.1013037165662
2156,1651.237028097252
1012,1677.643645250695
1633,1688.7856427073866
515,1179.599995333715
1091,1342.9414260866622
1658,1423.0247119423564
1624,1559.4440346159827
1672,1684.0499949002508
741,1141.9517543841018
1159,1631.3330766867382
1685,1541.406239044105
1391,1566.8248149405747
1895,1579.0680632584626
1891,1646.9400870173904
1313,1219.7655228797316
1113,1556.2667092375355
2058,1433.8565216613351
1442,1348.6265373414603
1542,1729.7815284979963
966,1360.7694398471767
1457,1167.1234408899102
1581,1543.0965851126691
1348,1476.2373678575027
1171,1245.3791975106694
1086,1393.404273260929
1234,1239.5844116208887
1508,1217.6065381474057
1727,1740.2332357683174
1616,1743.6385405435763
1789,1781.0919116571938
1272,1276.5808854847205
1041,1326.7221373349685
1795,1549.9850588055733
1480,1507.954347657954
2014,1764.1191883609008
834,925.9460378168611
1204,1358.5084694538525
568,1346.262877984629
1712,1751.437285120288
755,1140.6470347561979
623,1300.1590729436807
1701,1672.9271476751198
1540,1668.4432638421276
1233,1316.3493499399656
1328,1545.9608518795326
627,1023.8425346441829
2069,1992.499074641882
948,1321.6101996419586
1721,1515.9756308041158
1570,1571.121704832927
1163,1564.047830664277
706,1043.0682464979154
867,1297.0165364919521
1885,1099.729736763371
1459,1255.468447150955
956,1384.3433110935614
1714,1658.0138708283991
1604,1553.1599785181693
1198,1501.0488265668278
1610,1589.6501231340615
1804,1627.6158904088547
1571,1574.8760186714617
639,1312.180149317516
946,1351.8292181775016
835,1326.8823353936862
1154,1511.783831830203
1494,1630.9413185730725
2156,1815.9732449266303
1819,1779.270069762567
1453,1509.99327701998
1132,1596.2695607946011
1947,1619.3054049495695
1913,1868.2548600127789
1929,1637.958391954194
1041,1224.0723069717305
1198,1143.950924577108
1421,1489.5401960118434
1679,1681.8815864983776
1104,1511.1731209775712
1674,1617.5821298907524
1066,1493.2834669441118
1765,1441.260735987545
1555,1499.540254570927
1499,1545.1076991285222
1481,1790.7309918637727
1791,1505.5360173147803
960,937.5991723123879
1811,2050.121480360553
1057,1105.208895186715
1082,1225.3202393316824
1164,1639.7103295246357
1357,1510.5848558895402
2007,1698.780787855806
1500,1037.6849874182853
1500,1323.5576007331565
902,1061.7946094738681
1571,1725.2077303705041
1678,1562.4852525465246
1568,1695.1039381042665
1271,1501.171196939179
1290,1451.2687224574527
1818,1279.393235193794
1538,1738.7999278522225
883,1154.9469061986767
1401,1482.3877252562818
1542,1548.557013260604
1787,1603.4672729744505
1086,1235.1641830106555
1180,1348.8130367947786
1382,1301.1019633022534
1447,1311.6180053037403
1682,1529.797310610611
1249,1351.7392704748418
1057,1308.7488825788682
2138,1682.2524209631313
1743,1545.9022363739098
1683,1783.506696844956
1934,2092.202887951969
1728,1307.9038484400212
1233,1795.3202728214012
1166,1347.4957412567528
1738,1410.6108102808994
1393,1536.3486318534397
1494,1696.294661016851
2083,1603.3762789532304
1756,1723.241356902678
1735,1293.8189659601946
1077,1522.0240680491609
1254,1270.5448645411204
1753,1643.3720267509311
1883,1940.185807550151
1976,1699.0975046033636
845,1282.027023823844
934,1155.5716424573914
1967,1641.9466840277998
1074,1456.847897401205
984,1175.9892089945877
2068,1735.319750566415
1542,1543.4750652789826
1696,1493.1778654223604
1456,1649.3906558396338
1373,1468.326589605874
1478,1402.9686943123236
1939,1469.9797088252112
1623,1396.5833638844813
702,1490.6475242854171
1556,1697.4501489488082
1269,1426.8089781659319
981,1306.1815118921127
647,1380.6075907259467
1179,1504.4414674759616
1477,1474.8440798031384
1525,1688.473571780858
1992,1361.9110502743465
1484,1711.192855042426
1507,1359.0904357114403
1380,1454.2980066750101
1696,1554.9011316730803
1552,1655.38663173292
1264,1739.3830013207223
1128,1239.9575401809318
1764,1619.7920905475123
1746,1570.9122605910914
1282,1644.2868484157939
820,1200.1734869965067
1339,1135.0056275635216
1417,1508.5894828578998
1417,1202.7161630318585
1781,1702.6656454056154
1455,1550.0860173381768
1483,1668.6648506308227
1500,1635.2004492369724
1398,1402.459007026525
973,1440.6287409448214
1772,1796.146659218812
1195,1486.4443679120482
1833,1517.801656710876
881,1290.008105227129
1803,1628.6361793372678
1923,1796.9891096322308
2017,1592.2299797686028
1197,1769.1730441475959
1563,1404.0666913036928
1915,1615.8500996421906
1500,1336.2819337970202
1640,1598.3577972101834
1526,1649.816659016226
2092,1723.1041118211738
1050,1519.8058086151116
1616,1379.3359442856458
746,951.0197126606735
1797,1581.4666935370913
1725,1607.8348313803867
1400,1448.5370295533207
873,1247.248379042849
1712,1905.3331865295386
890,1160.0306664993202
1922,1596.2113989038273
1613,1505.7308623602746
950,1231.4117385685074
1148,1211.1654975210784
1534,1375.323353035707
1038,926.3155834823074
1735,1751.8578925141303
1853,1129.19727023288
1889,1659.2180062698712
1143,1450.2132183637375
1833,1804.5613330593967
1316,1426.9304214786766
1292,1338.6536910498255
1719,1678.871668357709
1231,1440.925423740301
1781,1706.386539074428
1827,1349.5432665293517
1500,1398.6617971067874
1523,1440.4205649012692
1397,1680.1861748915649
1279,1246.12250342357
838,1060.940700376583
1844,1704.4423027868343
1622,1411.612822624691
986,1439.5083685061256
1821,1310.4715237096532
1309,1670.0556296134405
1069,1241.601397321732
1124,1385.6251012100258
1361,1201.9275162493009
1354,1561.9508005216717
795,1303.5698970476724
1597,1603.840717378632
1181,1211.4286523884552
1074,1413.4538211268928
1314,1271.1171761770945
1080,1189.4311893257811
1292,1503.254276916219
936,1589.3197461139969
2169,1613.139507306507
1528,1152.1497985108151
1952,1526.7325438060493
1174,1691.9052027371724
1269,1251.5381091886252
507,1232.7406020780488
1672,1728.147650814874
1678,1925.386396179764
1006,1133.7987295179823
1532,1445.641265036589
1627,1463.8210404943475
1876,1646.8705639387854
1410,1312.0618383329472
1920,1825.2299117940256
1352,1332.5475282566576
1542,1625.952453221811
1123,1050.2466504938798
1578,1698.2099037412445
1519,1557.733089922257
959,1504.0997649433143
1844,1644.388017664358
1159,1640.6476813196505
1463,1502.1720001579902
1658,1366.366388354334
1308,1630.5278959511238
1938,1396.6066328471024
1655,1350.0761177951074
1206,1576.8080068038362
1615,1680.1120247173922
914,1149.2175239387989
1408,1343.2445935548044
1732,1675.715269625611
1110,1218.1480604947142
1874,1514.3225959313104
809,1279.2397656229232
1880,1552.2313411957584
1531,1327.5822800966455
2107,1698.5312945963271
1319,1284.7414805744097
1279,1382.2339533463926
1393,1549.4129646145484
1317,1113.4207823367165
755,1206.3792098303209
1592,1605.224779207152
1811,1281.5695985086197
1165,1301.7508044432852
1682,1493.9294027875917
1749,1626.1373167170457
2143,1661.3422836783423
903,929.7389678758395
1701,1632.5275970175255
998,1381.8291155865068
1482,1475.008671665047
2127,1836.4953731034623
706,1434.5222000210438
1577,1513.9847533940745
1657,1502.508720479533
1307,1296.24250523481
1688,1488.1671320107203
405,1098.8451179025965
1860,1621.8834595094556
994,1075.1391251008592
1628,1559.2743346245568
1629,1246.4332403443602
1827,1508.4200929672759
2318,1794.889376674358
1421,1392.8348851842948
1060,1634.1775507642944
1446,1317.6708720549375
2029,1509.2836898579042
1188,1408.3402065204793
1721,1709.4609621445088
1263,1481.374732561733
1714,1593.9536778220145
1288,1586.4727889252194
